iter	Passed	Remaining
1531	144293	138265
1532	144386	138170
1533	144478	138074
1534	144569	137976
1535	144662	137881
1536	144757	137787
1537	144840	137683
1538	144931	137586
1539	145031	137497
1540	145125	137402
1541	145213	137303
1542	145319	137219
1543	145410	137122
1544	145510	137034
1545	145612	136947
1546	145701	136848
1547	145783	136742
1548	145865	136636
1549	145946	136530
1550	146040	136435
1551	146128	136336
1552	146228	136247
1553	146334	136164
1554	146429	136071
1555	146512	135966
1556	146611	135877
1557	146709	135786
1558	146802	135690
1559	146899	135599
1560	146995	135506
1561	147077	135402
1562	147169	135305
1563	147193	135146
1564	147277	135043
1565	147368	134946
1566	147469	134858
1567	147567	134768
1568	147649	134662
1569	147736	134562
1570	147822	134461
1571	147910	134361
1572	148014	134276
1573	148127	134198
1574	148218	134102
1575	148312	134008
1576	148421	133927
1577	148528	133845
1578	148611	133740
1579	148713	133653
1580	148822	133573
1581	148906	133469
1582	148985	133361
1583	149067	133256
1584	149148	133151
1585	149230	133046
1586	149333	132960
1587	149427	132865
1588	149506	132758
1589	149604	132667
1590	149693	132569
1591	149791	132479
1592	149881	132381
1593	149975	132286
1594	150055	132180
1595	150138	132077
1596	150240	131989
1597	150324	131887
1598	150413	131787
1599	150501	131688
1600	150583	131584
1601	150674	131487
1602	150780	131403
1603	150886	131320
1604	150990	131234
1605	151084	131140
1606	151180	131048
1607	151276	130955
1608	151369	130860
1609	151466	130768
1610	151580	130692
1611	151673	130597
1612	151780	130514
1613	151878	130423
1614	151971	130328
1615	152073	130240
1616	152171	130150
1617	152281	130069
1618	152383	129982
1619	152481	129891
1620	152578	129800
1621	152680	129712
1622	152775	129618
1623	152868	129524
1624	152973	129438
1625	153088	129362
1626	153177	129264
1627	153264	129163
1628	153361	129072
1629	153482	129000
1630	153579	128908
1631	153666	128808
1632	153763	128716
1633	153861	128625
1634	153962	128537
1635	154055	128442
1636	154146	128345
1637	154235	128246
1638	154333	128156
1639	154431	128065
1640	154518	127964
1641	154610	127868
1642	154697	127769
1643	154782	127666
1644	154886	127581
1645	154977	127484
1646	155068	127387
1647	155156	127288
1648	155240	127186
1649	155329	127087
1650	155433	127001
1651	155545	126921
1652	155649	126835
1653	155738	126738
1654	155832	126643
1655	155928	126551
1656	156030	126463
1657	156126	126370
1658	156222	126277
